requests_per_minute,requests_per_second,failed_request_ratio,unique_endpoints,repeated_endpoint_ratio,avg_response_time_ms,session_duration_sec,avg_payload_size_bytes,login_attempts,login_failure_ratio,endpoint_entropy,request_interval_variance,status_4xx_count,is_bot
335.8939,5.4738,0.7231,1,0.975,72.34,47.67,199.13,350,0.8614,0.1534,0.009929,189,1
263.0956,4.3032,0.5301,1,0.9809,134.37,38.62,55.87,368,0.8648,0.1622,0.008263,87,1
6.3304,0.0785,0.0511,6,0.4628,171.2,230.38,2841.78,1,0.0667,3.1268,11.873535,1,0
17.9283,0.3562,0.2836,3,0.2869,296.14,205.44,4347.2,0,0.0,1.7172,4.922753,19,0
176.8214,3.0455,0.8401,1,0.9712,43.21,48.37,253.89,84,0.6396,0.3655,0.004762,121,1
1000.0,30.0,0.2669,1,0.9914,99.94,11.48,4755.89,0,0.0,0.0967,0.010411,209,1
1000.0,30.0,0.2481,1,0.806,119.91,11.23,7312.6,0,0.0,0.903,0.038311,184,1
46.7236,0.7551,0.0241,3,0.4419,266.43,99.9,3665.41,0,0.0,2.6811,14.114464,1,0
1000.0,30.0,0.3798,1,0.8,56.87,6.03,212.18,284,0.7052,0.374,0.010606,97,1
1000.0,30.0,0.05,1,0.7588,134.32,9.79,2576.47,0,0.0,0.8017,0.025312,19,1
44.2322,0.7797,0.1021,5,0.4009,408.33,61.01,1950.59,1,0.0423,2.9798,9.136762,5,0
23.26,0.3667,0.1161,5,0.1228,382.46,103.61,2675.96,1,0.1299,2.8465,14.295348,4,0
4.9887,0.1952,0.2347,5,0.205,137.77,145.17,4380.32,0,0.0,3.5533,1.540345,2,0
768.0066,12.703,0.6637,2,0.9306,83.76,33.6,90.8,108,0.7097,0.1759,0.00436,282,1
327.3221,5.2993,0.6617,1,0.9777,105.97,27.62,120.82,288,0.8892,0.4038,0.001655,97,1
1000.0,25.472,0.5077,1,0.8763,177.5,15.13,98.96,356,0.7981,0.1065,0.008243,196,1
640.7173,10.6353,0.3714,1,0.8,56.54,34.24,151.72,321,0.9635,0.0,0.01122,136,1
12.9189,0.2096,0.0057,5,0.1,234.29,58.38,1056.39,0,0.0,1.6687,4.80833,0,0
15.0392,0.5214,0.1242,3,0.7059,204.15,132.06,2382.87,0,0.0,0.6764,0.764959,4,1
1000.0,30.0,0.1119,1,0.8535,142.43,14.0,6978.73,0,0.0,0.2684,0.049511,49,1
22.2464,0.3784,0.1184,3,0.4055,89.74,41.41,4658.11,1,0.1832,1.6585,7.720236,2,0
5.5765,0.0213,0.1535,3,0.3139,350.04,117.63,3850.43,0,0.0,1.6835,5.377814,1,0
1.4874,0.0459,0.1232,5,0.5281,96.34,208.5,4599.49,0,0.0,2.561,2.418285,0,0
8.6894,0.2885,0.1477,2,0.6399,101.55,112.29,707.8,10,0.2791,0.4009,0.598236,4,1
0.0,0.0287,0.0769,5,0.1,265.1,240.99,1207.95,1,0.1162,3.2656,9.375586,0,0
69.7293,1.2171,0.1383,5,0.1229,314.86,62.5,4540.84,0,0.0,2.1848,1.953561,10,0
9.0026,0.022,0.1427,7,0.2922,372.71,204.27,4137.63,0,0.0,2.8435,3.321893,2,0
48.0472,0.8016,0.0342,7,0.5273,383.32,66.98,3686.11,0,0.0,3.3699,2.104636,1,0
19.5908,0.316,0.0724,4,0.5486,276.6,219.12,1029.47,1,0.2908,2.2298,7.478088,5,0
384.3606,6.0627,0.503,2,0.9287,162.01,15.93,154.33,172,0.9419,0.1514,0.017623,49,1
607.3279,10.3522,0.7586,1,0.907,165.18,40.24,66.11,369,0.5321,0.0333,0.00644,309,1
1000.0,30.0,0.05,2,0.8013,97.9,12.77,4516.42,0,0.0,0.7659,0.008371,22,1
15.2141,0.2984,0.0468,6,0.393,114.7,179.01,2077.64,0,0.0,2.2993,6.843386,2,0
2.1561,0.029,0.0475,4,0.3833,162.3,191.1,4854.08,0,0.0,2.4842,11.164565,0,0
476.2252,8.098,0.7589,1,0.9703,48.27,57.76,66.1,52,0.7008,0.5135,0.012241,349,1
13.1189,0.2956,0.1223,3,0.1021,367.49,260.54,4480.89,0,0.0,2.49,6.904861,9,0
495.5205,8.1465,0.5177,1,0.8,175.11,43.26,221.29,319,0.8422,0.2973,0.00583,183,1
1000.0,30.0,0.1582,2,0.9088,51.51,3.91,4985.49,0,0.0,0.7571,0.046005,34,1
7.0599,0.1645,0.132,3,0.5173,167.5,119.17,3231.19,2,0.2331,2.5699,9.290099,2,0
14.6051,0.2469,0.0823,6,0.422,369.72,226.97,1622.96,0,0.0,3.0391,7.021228,5,0
1.161,0.0313,0.0319,5,0.2302,382.51,299.67,4751.18,0,0.0,2.3132,13.689133,0,0
5.1944,0.0872,0.0611,5,0.4789,94.63,145.32,3048.45,1,0.0163,2.909,7.369713,0,0
11.4475,0.0965,0.0524,6,0.1852,308.59,243.86,2718.99,1,0.1337,1.927,7.414489,2,0
8.8252,0.1226,0.0456,5,0.3059,286.88,140.79,4097.54,0,0.0,1.7715,9.36598,1,0
11.9482,0.3084,0.0145,3,0.3947,166.24,214.11,2873.18,0,0.0,2.5869,8.682947,0,0
65.3466,1.1504,0.2571,7,0.2217,237.44,64.06,1288.95,1,0.2012,2.1684,9.458544,18,0
18.6394,0.2648,0.0747,6,0.1063,254.23,138.47,3552.07,0,0.0,1.8479,3.65531,2,0
29.5505,0.5551,0.3042,2,0.4432,245.45,69.45,2133.35,10,0.2974,0.6069,0.651034,11,1
505.4871,8.5025,0.7769,1,0.9776,136.17,47.29,243.25,304,0.9169,0.1365,0.013491,315,1
203.1184,3.1919,0.6845,1,0.9962,93.94,51.55,130.05,65,0.9284,0.0,0.009186,117,1
1000.0,30.0,0.3,1,0.7215,69.85,17.98,1614.53,0,0.0,0.727,0.019724,227,1
51.8838,0.813,0.1101,7,0.5097,118.19,71.1,3186.77,0,0.0,3.2427,7.600109,6,0
280.0493,4.714,0.3952,1,0.9491,91.62,41.37,68.93,390,0.9248,0.4961,0.016262,77,1
34.8685,0.5575,0.1207,4,0.3077,395.55,115.07,4714.03,1,0.3852,1.9426,1.217511,8,0
31.5035,0.6055,0.0822,3,0.1173,237.8,83.62,4331.46,1,0.0034,2.778,11.053472,3,0
80.151,1.3194,0.1048,4,0.1,264.84,46.3,1570.66,2,0.086,1.4501,10.353535,6,0
339.9177,5.6385,0.3,1,0.9113,56.04,57.95,82.91,160,0.6631,0.5096,0.002096,99,1
581.556,9.5402,0.7904,1,0.8751,138.74,48.92,266.17,391,0.7961,0.3239,0.015845,372,1
548.5647,9.2015,0.5907,2,0.8768,180.36,36.58,129.99,124,0.8005,0.3116,0.009848,198,1
29.0642,0.4659,0.1244,5,0.1086,89.52,159.67,4768.95,1,0.2968,2.8962,14.423659,8,0
84.6423,1.3665,0.0832,4,0.2505,313.23,43.4,1566.2,1,0.1205,2.0337,1.459395,4,0
4.1466,0.0326,0.0133,7,0.3594,301.88,241.36,3845.46,1,0.1484,3.3929,1.863943,0,0
9.3174,0.1457,0.0575,7,0.4946,82.47,299.63,1489.1,0,0.0,2.7368,8.244475,2,0
0.0,0.0,0.2059,3,0.6812,264.84,170.21,864.6,10,0.4683,0.5754,0.233901,2,1
7.1975,0.0358,0.1378,3,0.3584,254.43,295.56,2468.39,1,0.0964,2.0626,12.081374,3,0
1000.0,23.0373,0.05,1,0.7,101.56,24.6,5164.9,0,0.0,0.2945,0.038049,28,1
30.4855,0.5229,0.0632,5,0.2837,321.47,114.58,1634.31,0,0.0,2.1087,14.740122,3,0
11.4315,0.155,0.0507,6,0.2359,216.09,227.86,541.99,0,0.0,3.0706,14.881244,2,0
30.661,0.5344,0.0877,4,0.1714,134.76,106.65,2945.79,0,0.0,2.5871,3.075765,5,0
78.6891,1.2983,0.0764,3,0.2218,340.16,36.94,3235.59,1,0.0505,1.7829,8.368573,3,0
6.5827,0.1258,0.0694,7,0.251,134.13,57.78,4742.11,0,0.0,2.7354,13.854013,0,0
7.2097,0.2166,0.1,2,0.8847,156.93,145.58,2596.76,0,0.0,0.5279,0.443894,2,1
13.9457,0.2577,0.3086,5,0.1173,260.81,270.33,4428.27,1,0.0461,1.6301,13.614167,21,0
12.9773,0.2721,0.125,5,0.1,305.28,245.03,1940.07,0,0.0,1.8362,14.416313,6,0
23.7585,0.3214,0.0788,4,0.5515,161.23,182.92,3850.55,0,0.0,3.0049,12.136279,5,0
21.8287,0.3461,0.0944,5,0.2667,228.36,74.11,2985.71,0,0.0,3.6775,13.036739,2,0
24.678,0.424,0.3217,3,0.7092,204.31,79.99,608.77,10,0.2851,0.6704,0.262428,7,1
13.9048,0.2475,0.2535,5,0.1,259.11,130.59,4958.95,0,0.0,2.4792,13.829498,8,0
28.6964,0.46,0.0952,5,0.5977,231.81,124.41,4099.97,0,0.0,2.1006,1.909951,5,0
4.8632,0.0505,0.0456,3,0.2975,165.08,242.59,2991.63,0,0.0,2.3501,9.95745,0,0
1000.0,20.276,0.0712,2,0.9429,118.45,28.16,6052.18,0,0.0,0.1354,0.049012,40,1
16.765,0.2196,0.0255,5,0.7638,219.24,270.9,4704.69,0,0.0,2.0603,13.8507,1,0
44.005,0.6921,0.0093,5,0.2842,378.08,75.13,3037.46,0,0.0,3.5112,3.177038,0,0
1000.0,18.4001,0.104,1,0.8581,143.83,27.17,6644.99,0,0.0,0.1429,0.045146,51,1
0.5427,0.0457,0.0243,3,0.1843,366.1,100.42,895.7,0,0.0,3.1763,12.420906,0,0
34.9597,0.6264,0.0251,4,0.1,129.25,66.26,2561.17,1,0.2708,3.1541,13.853502,1,0
4.6322,0.1387,0.2359,6,0.2729,183.23,251.26,2086.16,0,0.0,2.0084,10.304838,6,0
5.6802,0.1884,0.1185,3,0.3292,135.39,273.92,1928.14,0,0.0,1.293,14.430924,4,0
67.9078,1.1036,0.2266,5,0.2536,326.96,63.08,2557.3,1,0.1109,2.1325,14.747308,16,0
11.6745,0.1761,0.0213,7,0.2486,257.87,293.2,1868.29,0,0.0,2.1465,12.632822,1,0
1000.0,30.0,0.1522,1,0.9174,92.37,10.22,2800.09,0,0.0,0.829,0.032129,75,1
69.7323,1.1927,0.0722,7,0.2841,159.07,67.07,4428.69,0,0.0,1.3834,10.903242,5,0
100.2787,1.6871,0.0489,7,0.1383,190.52,39.94,1366.87,1,0.049,3.1576,11.982736,3,0
17.7991,0.1649,0.3205,3,0.4,113.0,156.31,2274.46,0,0.0,1.1854,0.174195,12,1
9.3362,0.2505,0.0814,6,0.1,95.85,148.89,2879.0,0,0.0,1.6259,6.802723,1,0
414.881,6.7907,0.7922,1,0.8555,200.8,55.69,186.56,249,0.7222,0.2527,0.002656,301,1
0.1392,0.0252,0.0689,7,0.5325,108.09,194.98,3838.33,1,0.1453,3.3014,10.629972,0,0
1000.0,21.5527,0.4956,1,0.9054,148.84,12.97,94.86,215,0.743,0.2263,0.004901,139,1
864.6183,14.2306,0.05,1,0.8749,65.4,10.01,5275.25,0,0.0,0.2571,0.045126,7,1
1000.0,27.5442,0.428,1,0.9547,127.48,16.6,233.47,106,0.729,0.0143,0.003314,195,1
33.8678,0.5961,0.053,7,0.3688,292.84,115.04,2049.26,0,0.0,3.3105,9.024587,3,0
41.5833,0.6268,0.0624,6,0.2487,50.77,94.46,999.16,1,0.0099,3.2995,8.104195,3,0
392.0374,6.431,0.4717,2,0.8,149.84,42.08,200.53,95,0.8978,0.2112,0.01326,129,1
882.7556,14.4509,0.3,2,0.7,44.5,12.45,7817.81,0,0.0,0.918,0.034978,54,1
1000.0,26.7092,0.0851,1,0.9002,127.14,18.02,1984.43,0,0.0,0.9742,0.024766,41,1
694.9563,11.6579,0.4952,1,0.9601,89.57,12.08,194.83,158,0.8672,0.2993,0.015564,69,1
12.6434,0.1432,0.1438,6,0.2304,249.46,141.8,2764.37,0,0.0,2.0983,12.04986,4,0
9.4638,0.1739,0.1568,6,0.1243,285.13,115.11,1339.88,0,0.0,2.0099,6.923989,2,0
1000.0,30.0,0.5086,1,0.9751,172.48,11.92,221.68,306,0.7714,0.3573,0.000701,214,1
505.1494,8.3209,0.3,1,0.8804,117.32,53.44,115.9,96,0.7559,0.6664,0.007873,133,1
27.9606,0.3562,0.3743,1,0.8689,118.3,76.51,1914.78,10,0.5528,0.3938,0.553171,12,1
1000.0,24.7226,0.1592,2,0.7,130.1,16.91,7119.62,0,0.0,0.7995,0.011839,66,1
1000.0,29.3916,0.3,2,0.7,101.22,5.42,3473.97,0,0.0,0.9566,0.036618,47,1
728.0175,12.1328,0.1332,1,0.7557,153.57,20.61,4334.86,0,0.0,0.2582,0.003404,33,1
9.7481,0.232,0.0341,3,0.1,246.26,252.84,1528.24,1,0.0558,3.295,8.727536,1,0
537.8247,8.8189,0.8496,2,0.9937,161.72,55.98,100.74,212,0.5,0.0563,0.018972,419,1
0.0,0.0671,0.0961,4,0.2766,265.75,273.49,1833.45,0,0.0,2.8202,6.955239,1,0
8.4696,0.228,0.1521,7,0.1229,209.25,291.55,2802.13,1,0.1005,2.7086,11.226115,6,0
29.9323,0.5636,0.0438,3,0.1,212.15,37.0,1605.88,1,0.0083,2.9985,4.556029,0,0
415.1487,6.913,0.6036,2,0.8,84.61,37.72,74.92,220,0.8725,0.2212,0.001054,156,1
9.1879,0.0743,0.1847,3,0.7699,267.73,162.92,1179.6,10,0.6738,1.4103,0.340835,4,1
9.4079,0.1669,0.184,3,0.8573,298.0,172.09,1671.62,5,0.4846,1.4564,0.200565,3,1
6.6124,0.0126,0.0247,7,0.312,127.32,88.55,1804.71,1,0.3438,2.4508,1.753173,0,0
15.604,0.2146,0.0428,5,0.3175,229.06,279.67,3766.8,1,0.1784,2.8788,1.720029,2,0
18.9353,0.2332,0.0694,6,0.2776,238.23,121.0,3206.13,0,0.0,1.4822,5.627387,2,0
31.3503,0.5677,0.0329,6,0.2398,181.17,92.75,3369.2,1,0.1738,3.4918,7.913675,1,0
1000.0,18.5462,0.3,1,0.975,167.47,12.08,248.06,168,0.7762,0.4704,0.00528,67,1
30.5883,0.6132,0.1122,4,0.4703,155.48,103.43,3478.86,1,0.1334,1.8622,1.781582,6,0
10.2816,0.1162,0.2456,4,0.4887,311.37,116.17,3545.05,1,0.2082,2.5502,8.359466,4,0
1000.0,30.0,0.262,1,0.9119,58.36,18.71,5877.14,0,0.0,0.2772,0.021639,182,1
56.8607,0.8829,0.1614,7,0.3221,359.29,47.44,3980.67,1,0.0293,2.7622,1.694535,7,0
34.2284,0.5093,0.1184,6,0.1065,336.43,143.41,676.33,0,0.0,2.6858,1.643006,8,0
12.9993,0.2437,0.0508,6,0.1841,133.25,118.09,872.32,0,0.0,2.6434,8.669421,1,0
1000.0,19.3232,0.7955,1,0.9594,84.29,24.54,194.21,198,0.8292,0.2692,0.006898,375,1
5.0554,0.0907,0.1854,4,0.3592,226.48,271.04,2989.57,0,0.0,1.8277,12.320717,4,0
21.893,0.4046,0.0141,7,0.3297,350.35,186.42,3994.95,1,0.0108,2.3955,12.656104,0,0
1000.0,30.0,0.6776,1,0.8025,141.94,10.26,118.99,100,0.6954,0.1507,0.001112,329,1
14.8653,0.2287,0.0671,4,0.1382,287.01,127.24,4574.46,0,0.0,1.9844,5.452754,1,0
165.4318,2.6172,0.6792,1,0.9839,70.17,39.5,251.14,74,0.6051,0.2657,0.014793,72,1
23.1324,0.4646,0.243,7,0.3956,144.02,160.51,4446.16,0,0.0,2.954,7.429383,16,0
4.1435,0.0245,0.0651,7,0.3862,295.39,154.27,3989.9,0,0.0,3.0293,2.99303,1,0
951.1173,15.6269,0.05,1,0.8662,106.07,29.78,4605.2,0,0.0,0.3794,0.005752,23,1
31.0492,0.5382,0.0048,6,0.2731,299.56,135.85,4218.21,1,0.3231,1.8564,11.144806,0,0
1000.0,27.5506,0.2023,2,0.8652,52.42,27.49,6353.92,0,0.0,0.0994,0.044068,152,1
220.4738,3.8195,0.3613,1,0.8384,69.56,31.53,249.46,198,0.7982,0.0,0.00084,41,1
370.9309,6.1777,0.9371,1,0.8776,134.23,15.75,142.46,89,0.842,0.0,0.011475,89,1
17.7726,0.2922,0.0313,3,0.5353,113.8,170.89,2102.87,1,0.1164,2.0616,8.650608,1,0
23.918,0.2902,0.0649,7,0.4868,231.14,61.26,4465.15,0,0.0,2.5965,1.239677,1,0
6.4141,0.0,0.2944,2,0.8839,272.78,152.98,364.6,1,0.5267,1.0414,0.538647,3,1
8.8909,0.2223,0.0107,7,0.675,227.95,254.14,1973.89,0,0.0,2.1163,8.036981,0,0
71.5817,1.2871,0.1353,5,0.1192,182.83,43.18,730.09,0,0.0,1.7823,14.672213,7,0
21.5298,0.2857,0.1425,7,0.293,98.4,127.72,2399.15,0,0.0,2.6431,8.869398,6,0
64.9937,1.0214,0.1184,5,0.2975,126.17,60.0,2466.82,0,0.0,3.6714,0.777097,7,0
1000.0,19.465,0.1678,1,0.9278,42.67,18.46,4711.0,0,0.0,0.6826,0.033782,60,1
1000.0,18.5046,0.8514,2,0.9595,106.78,22.53,144.07,213,0.847,0.0,0.00346,351,1
1000.0,23.6182,0.0803,3,0.8404,43.45,26.36,4199.76,0,0.0,0.2461,0.017272,50,1
6.9418,0.1374,0.0284,3,0.4627,183.63,108.0,1986.4,1,0.0644,1.6929,12.537014,0,0
34.041,0.6394,0.0734,6,0.3071,249.16,140.22,1502.0,0,0.0,3.5637,4.747439,5,0
42.2391,0.6556,0.0847,6,0.5883,217.72,70.96,610.09,0,0.0,1.6583,2.260918,3,0
14.2405,0.1436,0.3084,3,0.5591,137.73,114.93,1627.98,10,0.3767,0.8544,0.390734,8,1
670.4742,11.373,0.3397,1,0.8425,49.65,8.35,168.61,104,0.9616,0.2271,0.002759,31,1
1000.0,23.0312,0.7561,1,0.9052,92.23,14.56,297.58,99,0.9161,0.1144,0.003365,252,1
12.3161,0.2022,0.0446,7,0.1,162.28,254.16,2075.78,0,0.0,3.5088,11.961468,2,0
33.1843,0.5739,0.0491,3,0.2085,277.0,136.48,4802.43,0,0.0,2.3378,14.672711,3,0
6.4071,0.0648,0.0331,6,0.5174,275.54,239.29,4249.53,1,0.0771,2.0156,1.52784,0,0
15.6695,0.3401,0.1249,5,0.5345,114.45,199.53,2135.28,2,0.0536,3.5748,13.352136,7,0
12.8693,0.1505,0.3493,3,0.5301,146.32,184.14,2752.38,0,0.0,1.006,0.74952,9,1
625.2262,10.5218,0.5379,2,0.9659,146.89,41.58,295.47,338,0.6977,0.4666,0.00347,236,1
1000.0,30.0,0.6797,1,0.8919,160.58,9.71,238.65,153,0.8382,0.244,0.004276,320,1
11.9817,0.2474,0.11,4,0.2182,291.59,251.82,4958.43,1,0.1223,3.1077,8.123938,5,0
10.9863,0.2132,0.1092,6,0.1626,151.72,289.93,4033.33,1,0.0167,1.911,12.02644,5,0
486.4778,8.1979,0.8149,1,0.9454,143.0,38.45,240.93,125,0.8491,0.2232,0.000552,258,1
730.2812,12.1781,0.2622,2,0.8261,122.44,19.36,4577.17,0,0.0,0.9739,0.045674,62,1
27.8278,0.519,0.0409,4,0.1941,204.66,147.89,2918.86,0,0.0,3.0584,7.680945,3,0
10.2094,0.1583,0.2864,3,0.1691,163.97,262.03,2071.08,0,0.0,3.2404,11.846487,13,0
464.0089,7.5529,0.6771,1,0.8992,113.35,38.25,162.26,254,0.7846,0.5158,0.002484,199,1
13.8165,0.1249,0.2726,1,0.4433,291.04,189.48,467.24,0,0.0,0.8375,0.317741,9,1
21.2828,0.3968,0.0926,3,0.5219,353.07,192.66,3767.91,0,0.0,3.6117,2.245289,6,0
428.5947,7.1771,0.7285,1,0.9192,74.23,47.5,219.59,351,0.7928,0.0699,0.006711,250,1
27.1271,0.4806,0.0615,4,0.2209,389.47,85.37,2541.39,1,0.1348,2.4988,8.40011,2,0
3.271,0.036,0.3156,3,0.8396,146.14,125.19,2901.05,0,0.0,0.8766,0.256727,6,1
65.8147,1.1132,0.035,4,0.2928,95.78,72.38,2586.08,1,0.2848,1.9491,8.720478,2,0
554.94,9.1775,0.6508,2,0.8,128.26,39.57,187.24,92,0.673,0.2463,0.003505,236,1
18.4969,0.2501,0.2327,7,0.541,175.65,191.77,3488.31,0,0.0,2.0078,7.066735,11,0
1000.0,18.3549,0.6235,2,0.9463,134.73,19.56,218.23,98,0.8745,0.0,0.018456,224,1
29.6687,0.4939,0.122,3,0.4612,150.7,154.74,3093.3,1,0.0632,2.0632,2.141952,9,0
447.1215,7.4322,0.4608,1,0.9019,123.74,20.99,206.92,92,0.7488,0.3319,0.006918,71,1
15.8955,0.2876,0.0926,7,0.3853,408.74,195.73,1841.52,0,0.0,1.642,8.602612,4,0
28.9626,0.523,0.009,6,0.1,174.86,120.63,2261.38,0,0.0,2.6761,7.07678,0,0
11.9663,0.2745,0.0654,3,0.3039,360.79,171.26,1958.69,0,0.0,2.7017,3.866589,2,0
17.1522,0.1807,0.3943,2,0.4,127.96,86.65,1649.18,0,0.0,0.8561,0.45333,12,1
1000.0,30.0,0.4999,1,0.868,115.26,12.8,261.46,105,0.8981,0.087,0.009846,212,1
6.3723,0.217,0.1349,7,0.2846,279.29,276.66,676.01,0,0.0,3.4472,1.68119,5,0
109.0974,1.664,0.3929,2,0.9569,126.84,50.1,88.3,90,0.7049,0.3313,0.008506,35,1
23.0823,0.3476,0.0823,3,0.3652,236.18,221.31,4860.69,0,0.0,1.7721,0.918647,6,0
22.1788,0.2694,0.0062,4,0.3819,293.05,77.09,4695.02,0,0.0,1.5304,10.293693,0,0
17.9804,0.3061,0.159,7,0.4378,182.86,176.01,3472.11,0,0.0,1.459,9.224456,8,0
3.9518,0.1151,0.1317,7,0.312,245.91,262.28,4827.97,1,0.0884,2.3016,2.420657,2,0
3.6726,0.1132,0.0356,5,0.5042,262.61,272.41,1188.0,1,0.0281,2.2694,5.107888,0,0
428.145,7.3068,0.2177,1,0.8284,150.2,15.21,7991.32,0,0.0,0.0924,0.039,24,1
1.3884,0.0002,0.1651,7,0.4086,303.53,255.92,3258.26,0,0.0,3.5199,4.598497,1,0
11.3571,0.0623,0.3026,3,0.5146,152.96,160.54,1537.16,0,0.0,1.2968,0.654639,7,1
2.5668,0.1313,0.095,7,0.2908,371.32,130.45,2495.48,0,0.0,2.2375,10.472653,1,0
1000.0,30.0,0.2592,1,0.8578,53.19,17.42,6137.71,0,0.0,0.3857,0.006873,143,1
1000.0,19.6295,0.6426,1,0.9848,95.96,23.67,230.6,218,0.714,0.0888,0.013953,296,1
20.4625,0.4636,0.0501,3,0.2891,179.59,204.63,4587.72,0,0.0,2.5263,6.52449,3,0
63.0599,1.011,0.0372,3,0.265,306.63,40.47,2634.74,0,0.0,2.846,1.337372,1,0
1000.0,30.0,0.0732,1,0.7,65.24,13.14,7379.02,0,0.0,0.4689,0.025319,31,1
33.0904,0.4818,0.0434,6,0.1151,379.8,125.46,2424.65,1,0.119,1.3792,4.880143,3,0
67.1544,1.1617,0.1983,7,0.4121,381.85,61.95,2560.64,0,0.0,2.2547,2.342272,12,0
1000.0,24.0623,0.2862,3,0.9571,57.16,6.84,2800.86,0,0.0,0.0663,0.020714,47,1
1000.0,30.0,0.1821,2,0.7369,138.76,18.67,5706.19,0,0.0,1.0405,0.014763,102,1
19.396,0.2767,0.1115,6,0.2624,220.04,200.08,1327.87,0,0.0,2.4601,3.585792,7,0
12.2368,0.2504,0.106,6,0.3557,78.89,177.85,2819.17,0,0.0,1.5594,10.817987,4,0
63.1717,1.1283,0.0429,6,0.2379,144.5,64.07,2937.91,1,0.0103,3.1202,12.946181,2,0
17.0784,0.2272,0.0596,7,0.3363,257.72,131.67,3648.64,0,0.0,3.3334,6.438583,1,0
0.0,0.0577,0.1782,6,0.4172,212.57,296.47,724.35,1,0.1071,2.9555,12.161429,1,0
1000.0,30.0,0.2197,2,0.9201,81.1,10.79,1391.03,0,0.0,0.6911,0.008435,132,1
404.5331,6.8984,0.8233,2,0.9192,143.9,55.75,66.88,351,0.6332,0.3196,0.016354,313,1
1000.0,30.0,0.188,1,0.7,119.89,17.9,4122.79,0,0.0,0.4689,0.029519,136,1
